Time,RPM,Setpoint
2745860,1500.00,1800.00
2747984,1200.00,1800.00
2750120,1500.00,1800.00
2752236,1500.00,1800.00
2754360,1500.00,1800.00
2756484,1500.00,1800.00
2758612,1500.00,1800.00
2760736,1500.00,1800.00
2762868,1500.00,1800.00
2764984,1800.00,1800.00
2767112,1500.00,1800.00
2769236,1500.00,1800.00
2771368,1500.00,1800.00
2773492,1800.00,1800.00
2775612,1800.00,1800.00
2777736,1500.00,1800.00
2779860,1500.00,1800.00
2781984,1800.00,1800.00
2784112,1500.00,1800.00
2786236,1800.00,1800.00
2788368,1800.00,1800.00
2790484,1800.00,1800.00
2792616,1800.00,1800.00
2794736,1500.00,1800.00
2796860,1800.00,1800.00
2798984,1800.00,1800.00
2801116,1800.00,1800.00
2803236,1800.00,1800.00
2805360,2100.00,1800.00
2807484,1800.00,1800.00
2809624,1800.00,1800.00
2811748,1800.00,1800.00
2813876,1800.00,1800.00
2816004,1500.00,1800.00
2818124,1800.00,1800.00
2820248,1500.00,1800.00
2822376,1500.00,1800.00
2824500,1500.00,1800.00
2826624,1500.00,1800.00
2828748,1800.00,1800.00
2830876,1500.00,1800.00
2833000,1500.00,1800.00
2835124,1500.00,1800.00
2837256,1500.00,1800.00
2839376,1500.00,1800.00
2841500,1500.00,1800.00
2843624,1200.00,1800.00
2845748,1200.00,1800.00
2847872,1500.00,1800.00
2850000,1500.00,1800.00
2852124,1200.00,1800.00
2854248,1200.00,1800.00
2856376,1500.00,1800.00
2858500,1200.00,1800.00
2860624,1200.00,1800.00
2862748,900.00,1800.00
2864788,1200.00,1800.00
2866916,900.00,1800.00
2868956,1200.00,1800.00
2871080,900.00,1800.00
2873120,900.00,1800.00
2875160,1200.00,1800.00
2877284,900.00,1800.00
2879324,900.00,1800.00
2881368,900.00,1800.00
2883404,900.00,1800.00
2885444,900.00,1800.00
2887484,900.00,1800.00
2889524,900.00,1800.00
2891564,900.00,1800.00
2893604,900.00,1800.00
2895644,900.00,1800.00
2897684,900.00,1800.00
2899724,900.00,1800.00
2901764,900.00,1800.00
2903868,900.00,1800.00
2905844,600.00,1800.00
2907888,900.00,1800.00
2909924,900.00,1800.00
2911964,600.00,1800.00
2914004,900.00,1800.00
2916044,900.00,1800.00
2918084,900.00,1800.00
2920124,900.00,1800.00
2922164,900.00,1800.00
2924204,900.00,1800.00
2926244,900.00,1800.00
2928284,1200.00,1800.00
2930408,900.00,1800.00
2932456,1200.00,1800.00
2934576,1200.00,1800.00
2936700,900.00,1800.00
2938740,900.00,1800.00
2940780,1200.00,1800.00
2942904,900.00,1800.00
2944944,1200.00,1800.00
2947068,1200.00,1800.00
2949192,1200.00,1800.00
2951368,1200.00,1800.00
2953444,1200.00,1800.00
2955568,900.00,1800.00
2957624,1200.00,1800.00
2959740,1500.00,1800.00
2961860,1200.00,1800.00
2963984,1200.00,1800.00
2966116,1200.00,1800.00
2968232,1500.00,1800.00
2970360,1200.00,1800.00
2972484,1200.00,1800.00
2974608,1200.00,1800.00
2976736,1200.00,1800.00
2978876,1200.00,1800.00
2980984,1200.00,1800.00
2983108,1200.00,1800.00
2985236,1500.00,1800.00
2987360,1500.00,1800.00
2989484,1500.00,1800.00
2991616,1200.00,1800.00
2993736,1500.00,1800.00
2995860,1500.00,1800.00
2997984,1200.00,1800.00
3000120,1500.00,1800.00
3002236,1200.00,1800.00
3004360,1500.00,1800.00
3006484,1200.00,1800.00
3008636,1500.00,1800.00
3010760,1200.00,1800.00
3012884,1500.00,1800.00
3015012,1200.00,1800.00
3017136,1200.00,1800.00
3019260,1500.00,1800.00
3021392,1200.00,1800.00
3023512,1200.00,1800.00
3025636,1500.00,1800.00
3027760,1200.00,1800.00
3029884,1200.00,1800.00
3032012,1200.00,1800.00
3034136,1500.00,1800.00
3036268,1200.00,1800.00
3038384,1200.00,1800.00
3040512,900.00,1800.00
3042620,1200.00,1800.00
3044676,1200.00,1800.00
3046800,900.00,1800.00
3048868,1200.00,1800.00
3050964,900.00,1800.00
3053004,1200.00,1800.00
3055132,1200.00,1800.00
3057256,1200.00,1800.00
3059380,1200.00,1800.00
3061504,900.00,1800.00
3063544,1200.00,1800.00
3065672,900.00,1800.00
3067712,900.00,1800.00
3069752,900.00,1800.00
3071792,900.00,1800.00
3073868,900.00,1800.00
3075872,900.00,1800.00
3077912,900.00,1800.00
3079952,900.00,1800.00
3081992,900.00,1800.00
3084032,900.00,1800.00
3086072,900.00,1800.00
3088112,600.00,1800.00
3090152,900.00,1800.00
3092192,900.00,1800.00
3094232,600.00,1800.00
3096272,900.00,1800.00
3098312,900.00,1800.00
3100352,900.00,1800.00
3102392,900.00,1800.00
3104432,900.00,1800.00
3106472,600.00,1800.00
3108512,600.00,1800.00
3110564,900.00,1800.00
3112620,900.00,1800.00
3114644,900.00,1800.00
3116684,900.00,1800.00
3118724,900.00,1800.00
3120764,1200.00,1800.00
3122892,900.00,1800.00
3124932,1200.00,1800.00
3127056,1200.00,1800.00
3129180,1200.00,1800.00
3131376,900.00,1800.00
3133344,1200.00,1800.00
3135472,1200.00,1800.00
3137624,1500.00,1800.00
3139720,1200.00,1800.00
3141844,1200.00,1800.00
3143972,1200.00,1800.00
3146096,1200.00,1800.00
3148220,1200.00,1800.00
3150344,1500.00,1800.00
3152472,1500.00,1800.00
3154596,1500.00,1800.00
3156720,1500.00,1800.00
3158868,1500.00,1800.00
3160972,1500.00,1800.00
3163096,1500.00,1800.00
3165220,1500.00,1800.00
3167344,1500.00,1800.00
3169472,1500.00,1800.00
3171596,1800.00,1800.00
3173720,1800.00,1800.00
3175844,1800.00,1800.00
3177972,1500.00,1800.00
3180124,1500.00,1800.00
3182220,1800.00,1800.00
3184344,1500.00,1800.00
3186472,1800.00,1800.00
3188596,1800.00,1800.00
3190720,1800.00,1800.00
3192852,1500.00,1800.00
3194972,1800.00,1800.00
3197096,1800.00,1800.00
3199220,1800.00,1800.00
3201368,1800.00,1800.00
3203472,1800.00,1800.00
3205596,1800.00,1800.00
3207772,1800.00,1800.00
3209896,1800.00,1800.00
3212024,1800.00,1800.00
3214148,1500.00,1800.00
3216272,1800.00,1800.00
3218404,1500.00,1800.00
3220524,1800.00,1800.00
3222648,1800.00,1800.00
3224772,1800.00,1800.00
3226896,1500.00,1800.00
3229024,1500.00,1800.00
3231148,1800.00,1800.00
3233272,1500.00,1800.00
3235396,1200.00,1800.00
3237524,1500.00,1800.00
3239648,1500.00,1800.00
3241772,1200.00,1800.00
3243896,1200.00,1800.00
3246024,1200.00,1800.00
